"type";"nameDe";"nameFr";"address";"location";"zip";"descriptionDe";"descriptionFr";"coordinates";"offers";"hasWalkIn";"appointmentType";"externalLinkDe";"externalLinkFr";"vacTypes";"openingHoursDe";"openingHoursFr";"dateTimeRangeStart";"dateTimeRangeStop"
"Impftruck";"Impftruck - Frutigen ";"Camion de vaccinatin - Frutigen";"Marktplatz";"Frutigen ";"3714";"Marktplatz";"Place de marché";"46.58727700064507, 7.64419781160716";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 18:00 Uhr ";"10:00 à 18:00";"2021-12-03T10:00:00";"2021-12-03T18:00:00"
"mobile Einheit";"mobile Einheit - Täuffelen";"Equipe mobile - Täuffelen";"Hauptstrasse 30";"Gerolfingen";"2575";"Restaurant Züttel";"Restaurant Züttel";"47.07526804772419, 7.201104111559659";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 16:00 Uhr";"09:00 à 16:00";"2021-11-19T09:00:00";"2021-11-19T16:00:00"
"mobile Einheit";"mobile Einheit - Täuffelen";"Equipe mobile - Täuffelen";"Hauptstrasse 30";"Gerolfingen";"2575";"Restaurant Züttel";"Restaurant Züttel";"47.07526804772419, 7.201104111559659";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 16:00 Uhr";"09:00 à 16:00";"2021-12-17T09:00:00";"2021-12-17T16:00:00"
"mobile Einheit";"mobile Einheit - Grandval";"Equipe mobile - Grandval";"Grand-rue 29";"Grandval";"2745";"Gemeinschaftszentrum";"Centre communal";"47.28333034251645, 7.422815513927637";"1";"true";"2";;;"mRNA";"von 10:00 Uhr bis 18:00 Uhr";"10:00 à 18:00";"2021-11-16T10:00:00";"2021-11-16T18:00:00"
"mobile Einheit";"mobile Einheit - Gunten";"Equipe mobile - Gunten";"Schönbergstrasse 1";"Gunten";"3654";"Dorflokal Gunten";"pub du village";"46.71360958389217, 7.701975113915402";"1,2";"true";"2";;;"mRNA";"von 16:00 Uhr bis 19:30 Uhr";"16:00 à 19:30";"2021-11-18T16:00:00";"2021-11-18T19:30:00"
"mobile Einheit";"mobile Einheit - Gunten";"Equipe mobile - Gunten";"Schönbergstrasse 1";"Gunten";"3654";"Dorflokal Gunten";"pub du village";"46.71360958389217, 7.701975113915402";"1,2";"true";"2";;;"mRNA";"von 16:00 Uhr bis 19:30 Uhr";"16:00 à 19:30";"2021-12-16T16:00:00";"2021-12-16T19:30:00"
"mobile Einheit";"mobile Einheit - Habkern";"Equipe mobile - Habkern";"Im Holz 373";"Habkern";"3804";;;"46.72712147476606, 7.864595698159249";"1,2";"true";"2";;;"mRNA";"von 16:30 Uhr bis 18:30 Uhr";"16.30 à 18:30";"2021-11-22T16:30:00";"2021-11-22T18:30:00"
"mobile Einheit";"mobile Einheit - Habkern";"Equipe mobile - Habkern";"Im Holz 373";"Habkern";"3804";;;"46.72712147476606, 7.864595698159249";"1,2";"true";"2";;;"mRNA";"von 16:30 Uhr bis 18:30 Uhr";"16.30 à 18:30";"2021-12-20T16:30:00";"2021-12-20T18:30:00"
"mobile Einheit";"mobile Einheit - Heimberg";"Equipe mobile Heimberg";"Schulstrasse 14a";"Heimberg";"3627";"Aula Untere Au";"Auditorium Untere Au";"46.78964312463317, 7.599916956244888";"1,2";"true";"2";;;"mRNA";"von 08:30 Uhr bis 16:30 Uhr";"08:30 à 16:30";"2021-11-19T08:30:00";"2021-11-19T16:30:00"
"mobile Einheit";"mobile Einheit - Heimberg";"Equipe mobile Heimberg";"Schulstrasse 14a";"Heimberg";"3627";"Aula Untere Au";"Auditorium Untere Au";"46.78964312463317, 7.599916956244888";"1,2";"true";"2";;;"mRNA";"von 08:30 Uhr bis 16:30 Uhr";"08:30 à 16:30";"2021-12-17T08:30:00";"2021-12-17T16:30:00"
"Impftruck";"Impftruck - Herzogenbuchsee";"Camion de vaccination - Herogenbuchsee";"Mittelholzstrasse 2";"Herzogenbuchsee";"3360";"Dreifachturnhalle Mittelholz";"Gymnase Mittelholz";"47.18753481454915, 7.716203469745275";"1";"true";"2";;;"mRNA";"von 10:00 Uhr bis 16:00 Uhr ";"10:00 à 16:00";"2021-11-09T10:00:00";"2021-11-09T16:00:00"
"Impftruck";"Impftruck - Herzogenbuchsee";"Camion de vaccination - Herzogenbuchsee";"Mittelholzstrasse 2";"Herzogenbuchsee";"3360";"Dreifachturnhalle Mittelholz";"Gymnase Mittelholz";"47.18753481454915, 7.716203469745275";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 16:00 Uhr ";"10:00 à 16:00";"2021-12-07T10:00:00";"2021-12-07T16:00:00"
"mobile Einheit";"mobile Einheit - Hofstetten";"Equipe mobile - Hofstetten";"Scheidweg 4";"Hofstetten b. Brienz";"3858";"Gemeindeverwaltung";"Administration municipale";"46.75418729490139, 8.074930156244163";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 12:00 Uhr";"10:00 à 12:00";"2021-11-16T10:00:00";"2021-11-16T12:00:00"
"mobile Einheit";"mobile Einheit - Hofstetten";"Equipe mobile - Hofstetten";"Scheidweg 4";"Hofstetten b. Brienz";"3858";"Gemeindeverwaltung";"Administration municipale";"46.75418729490139, 8.074930156244163";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 12:00 Uhr";"10:00 à 12:00";"2021-12-14T10:00:00";"2021-12-14T12:00:00"
"mobile Einheit";"mobile Einheit - Innertkirchen";"Equipe mobile - Innertkirchen";"Grimselstrasse 1";"Innertkirchen";"3862";"Sitzungszimmer Gemeindehaus";"salle de réunion centre communautaire";"46.70519768316626, 8.22978085439074";"1,2";"true";"2";;;"mRNA";"von 16.00 Uhr bis 18:30 Uhr";"16.00 à 18:30";"2021-11-18T16:00:00";"2021-11-18T18:30:00"
"mobile Einheit";"mobile Einheit - Innertkirchen";"Equipe mobile - Innertkirchen";"Grimselstrasse 1";"Innertkirchen";"3862";"Sitzungszimmer Gemeindehaus";"salle de réunion centre communautaire";"46.70519768316626, 8.22978085439074";"1,2";"true";"2";;;"mRNA";"von 16.00 Uhr bis 18:30 Uhr";"16.00 à 18:30";"2021-12-16T16:00:00";"2021-12-16T18:30:00"
"mobile Einheit";"mobile Einheit - Ins";"Equipe mobile - Ins";"Dorfplatz 2";"Ins";"3232";"Gemeindehaus";"Centre communautaire";"47.00637964864025, 7.105113383233191";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 16:00 Uhr ";"10:00 à 16:00";"2021-11-13T10:00:00";"2021-11-13T16:00:00"
"mobile Einheit";"mobile Einheit - Interlaken";"Equipe mobile - Interlaken";"Alpenstrasse 5";"Interlaken";"3800";"Aula";;"46.68539153984386, 7.862506426993899";"1,2";"true";"2";;;"mRNA";"von 14:00 Uhr bis 17:30 Uhr";"14:00 à 17:30 ";"2021-11-19T14:00:00";"2021-11-19T17:30:00"
"mobile Einheit";"mobile Einheit - Interlaken";"Equipe mobile - Interlaken";"Alpenstrasse 5";"Interlaken";"3800";"Aula";;"46.68539153984386, 7.862506426993899";"1,2";"true";"2";;;"mRNA";"von 14:00 Uhr bis 17:30 Uhr";"14:00 à 17:30 ";"2021-12-17T14:00:00";"2021-12-17T17:30:00"
"mobile Einheit";"mobile Einheit - Ipsach";"Equipe mobile - Ipsach";"Dorfstrasse 8";"Ipsach";"2563";"Gemeindezentrum";"Centre communautaire";"47.11520120577632, 7.234519825563418";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 16:00 Uhr";"09:00 à 16:00";"2021-11-18T00:00:00";"2021-11-18T00:00:00"
"mobile Einheit";"mobile Einheit - Ipsach";"Equipe mobile - Ipsach";"Dorfstrasse 8";"Ipsach";"2563";"Gemeindezentrum";"Centre communautaire";"47.11520120577632, 7.234519825563418";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 16:00 Uhr";"09:00 à 16:00";"2021-12-16T00:00:00";"2021-12-16T00:00:00"
"mobile Einheit";"mobile Einheit - Iseltwald";"Equipe mobile - Iseltwald";"Marderbach 15f";"Iseltwald";"3807";"Sitzungszimmer Gemeindeverwaltung";"salle de réunion administration municipale";"46.71100166655415, 7.9670566697350775";"1,2";"true";"2";;;"mRNA";"von 09:30 Uhr bis 11:30 Uhr";"09:30 à 11:30";"2021-11-19T09:30:00";"2021-11-19T11:30:00"
"mobile Einheit";"mobile Einheit - Iseltwald";"Equipe mobile - Iseltwald";"Marderbach 15f";"Iseltwald";"3807";"Sitzungszimmer Gemeindeverwaltung";"salle de réunion administration municipale";"46.71100166655415, 7.9670566697350775";"1,2";"true";"2";;;"mRNA";"von 09:30 Uhr bis 11:30 Uhr";"09:30 à 11:30";"2021-12-17T09:30:00";"2021-12-17T11:30:00"
"Impftruck";"Impftruck - Ittigen";"Camion de vaccination - Ittigen";"Rain 7";"Ittigen";"3063";;;"46.976687324683326, 7.478691098576802";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 16:00 Uhr";"10:00 à 16:00";"2021-11-22T10:00:00";"2021-11-22T16:00:00"
"Impftruck";"Impftruck - Ittigen";"Camion de vaccination - Ittigen";"Rain 7";"Ittigen";"3063";;;"46.976687324683326, 7.478691098576802";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 16:00 Uhr";"10:00 à 16:00";"2021-12-20T10:00:00";"2021-12-20T16:00:00"
"Impftruck";"Impftruck - Köniz";"Camion de vaccination Köniz";"Muhlernstrasse 11";"Köniz";"3098";;;"46.92084973696775, 7.414170683231394";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 16:00 Uhr ";"10:00 à 16:00";"2021-11-25T10:00:00";"2021-11-25T16:00:00"
"mobile Einheit";"mobile Einheit - Krattigen";"Equipe mobile - Krattigen";"Dorfplatz 4";"Krattigen";"3704";"Gemeindesaal";"Salle communautaire";"46.661280728860106, 7.726861656242223";"1,2";"true";"2";;;"mRNA";"von 09:30 Uhr bis 11:30 Uhr";"09:30 à 11:30";"2021-11-17T09:30:00";"2021-11-17T11:30:00"
"mobile Einheit";"mobile Einheit - Krattigen";"Equipe mobile - Krattigen";"Dorfplatz 4";"Krattigen";"3704";"Gemeindesaal";"Salle communautaire";"46.661280728860106, 7.726861656242223";"1,2";"true";"2";;;"mRNA";"von 09:30 Uhr bis 11:30 Uhr";"09:30 à 11:30";"2021-12-15T09:30:00";"2021-12-15T11:30:00"
"mobile Einheit";"mobile Einheit - Péry / la Heutte";"Equipe mobile - Péry / la Heutte";"Chemin de college 37";"La Heutte";"2604";;;"47.19213365612872, 7.23348509858143";"1";"true";"2";;;"mRNA";"von 09:00 Uhr bis 16:00 Uhr";"09:00 à 16:00";"2021-11-09T00:00:00";"2021-11-09T00:00:00"
"mobile Einheit";"mobile Einheit - Péry / la Heutte";"Equipe mobile - Péry / la Heutte";"Chemin de college 37";"La Heutte";"2604";;;"47.19213365612872, 7.23348509858143";"1";"true";"2";;;"mRNA";"von 09:00 Uhr bis 16:00 Uhr";"09:00 à 16:00";"2021-12-07T00:00:00";"2021-12-07T00:00:00"
"mobile Einheit";"mobile Einheit - La Scheulte";"Equipe mobile - La Scheulte";"Rütischür";"La Scheulte";"2827";;;"47.33519785766751, 7.552169312076325";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 18:00 Uhr";"10:00 à 18:00";"2021-11-24T10:00:00";"2021-11-24T18:00:00"
"mobile Einheit";"mobile Einheit - Lütschental";"Equipe mobile - Lütschental";"Briggmättli 38";"Lütschental";"3816";"Gemeindeverwaltung";"Administration municipale";"46.6383345073343, 7.948569298569589";"1,2";"true";"2";;;"mRNA";"von 13:00 Uhr bis 14:30 Uhr";"13:00 à 14:30";"2021-11-25T13:00:00";"2021-11-25T14:30:00"
"mobile Einheit";"mobile Einheit - Lütschental";"Equipe mobile - Lütschental";"Briggmättli 38";"Lütschental";"3816";"Gemeindeverwaltung";"Administration municipale";"46.6383345073343, 7.948569298569589";"1,2";"true";"2";;;"mRNA";"von 13:00 Uhr bis 14:30 Uhr";"13:00 à 14:30";"2021-12-23T13:00:00";"2021-12-23T14:30:00"
"Impftruck";"Impftruck - Langnau";"Camion de vaccination - Langnau";"Güterstrasse 20";"Langnau";"3550";"Kuperschmiede";"Kuperschmiede";"46.93700692402409, 7.7872775562480445";"1,2";"true";"2";;;"mRNA";"von 08:00 Uhr bis 14:00 Uhr und von 15:00 Uhr bis 18:00 Uhr";"de 08:00 à 14:00 et de 15:00 à 18:00";"2021-12-01T08:00:00";"2021-12-01T18:00:00"
"Impftruck";"Impftruck - Langnau";"Camion de vaccination - Langnau";"Güterstrasse 20";"Langnau";"3550";"Kuperschmiede";"Kuperschmiede";"46.93700692402409, 7.7872775562480445";"1,2";"true";"2";;;"mRNA";"von 08:00 Uhr bis 14:00 Uhr und von 15:00 Uhr bis 18:00 Uhr";"de 08:00 à 14:00 et de 15:00 à 18:00";"2021-12-17T08:00:00";"2021-12-17T18:00:00"
"Impftruck";"Impftruck - Langnau";"Camion de vaccination - Langnau";"Güterstrasse 20";"Langnau";"3550";"Kuperschmiede";"Kuperschmiede";"46.93700692402409, 7.7872775562480445";"1,2";"true";"2";;;"mRNA";"von 08:00 Uhr bis 14:00 Uhr und von 15:00 Uhr bis 18:00 Uhr";"de 08:00 à 14:00 et de 15:00 à 18:00";"2021-12-18T08:00:00";"2021-12-18T18:00:00"
"mobile Einheit";"mobile Einheit - Lauenen";"Equipe mobile - Lauenen";"Kirchstrasse 15";"Lauenen";"3782";"Mehrzweckhalle";"Salle polyvalente";"46.42461537534587, 7.321497913909268";"1";"true";"2";;;"mRNA";"von 15:00 Uhr bis 18:00 Uhr";"15:00 à 18:00";"2021-11-08T15:00:00";"2021-11-08T18:00:00"
"mobile Einheit";"mobile Einheit - Lauenen";"Equipe mobile - Lauenen";"Kirchstrasse 15";"Lauenen";"3782";"Mehrzweckhalle";"Salle polyvalente";"46.42461537534587, 7.321497913909268";"1,2";"true";"2";;;"mRNA";"von 15:00 Uhr bis 18:00 Uhr";"15:00 à 18:00";"2021-12-06T15:00:00";"2021-12-06T18:00:00"
"Impftruck";"Impftruck - Laupen ";"Camion de vaccination - Laupen";"Neuengasse 4";"Laupen";"3177";"Gemeindehaus";"Centre communautaire";"46.90258799972615, 7.238844856247312";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 16:00 Uhr ";"10:00 à 16:00";"2021-11-23T10:00:00";"2021-11-23T16:00:00"
"mobile Einheit";"mobile Einheit - Lauterbrunnen";"Equipe mobile - Lauterbrunnen";"Beim Alten Schulhaus";"Lauterbrunnen";"3822";;;"46.59362576314586, 7.907168507834214";"1,2";"true";"2";;;"mRNA";"von 15:30 Uhr bis 19:00 Uhr";"15:30 à 19:00";"2021-11-16T15:30:00";"2021-11-16T19:00:00"
"mobile Einheit";"mobile Einheit - Lauterbrunnen";"Equipe mobile - Lauterbrunnen";"Beim Alten Schulhaus";"Lauterbrunnen";"3822";;;"46.59362576314586, 7.907168507834214";"1,2";"true";"2";;;"mRNA";"von 15:30 Uhr bis 19:00 Uhr";"15:30 à 19:00";"2021-12-14T15:30:00";"2021-12-14T19:00:00"
"mobile Einheit";"mobile Einheit - Leissigen";"Equipe mobile - Leissigen";"Nythartweg 1";"Leissigen";"3706";"Sitzungszimmer Gemeindeverwaltung";"salle de réunion administration municipale";"46.65431261442312, 7.773857298569927";"1,2";"true";"2";;;"mRNA";"von 14:00 Uhr bis 16:00 Uhr";"14:00 à 16:00";"2021-11-17T14:00:00";"2021-11-17T16:00:00"
"mobile Einheit";"mobile Einheit - Leissigen";"Equipe mobile - Leissigen";"Nythartweg 1";"Leissigen";"3706";"Sitzungszimmer Gemeindeverwaltung";"salle de réunion administration municipale";"46.65431261442312, 7.773857298569927";"1,2";"true";"2";;;"mRNA";"von 14:00 Uhr bis 16:00 Uhr";"14:00 à 16:00";"2021-12-15T14:00:00";"2021-12-15T16:00:00"
"mobile Einheit";"mobile Einheit - Lengnau";"Equipe mobile - Lengnau";"Küpfgasse 8";"Lengnau";"2543";"Im Foyer der neuen Sporthalle Lengnau";"Dans le foyer de la nouvelle salle de sport de lengnau";"47.18258479557851, 7.370597513925481";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 16:00 Uhr";"09:00 à 16:00";"2021-11-23T00:00:00";"2021-11-23T00:00:00"
"mobile Einheit";"mobile Einheit - Lengnau";"Equipe mobile - Lengnau";"Küpfgasse 8";"Lengnau";"2543";"Im Foyer der neuen Sporthalle Lengnau";"Dans le foyer de la nouvelle salle de sport de lengnau";"47.18258479557851, 7.370597513925481";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 16:00 Uhr";"09:00 à 16:00";"2021-12-21T00:00:00";"2021-12-21T00:00:00"
"Impftruck";"Impftruck - Lenk";"Camion de vaccination - Lenk";"Oberriedstrasse 15";"Lenk";"3775";"Parkplatz Sportanlage TEC";"Parking centre sportif TEC";"46.45522977980089, 7.443984729254129";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 16:00 Uhr ";"10:00 à 16:00";"2021-11-19Z10:00:00";"2021-11-19T16:00:00"
"mobile Einheit";"mobile Einheit - Lenk";"Equipe mobile - Lenk";"Schulhausstrasse 2";"Lenk";"3775";"Gesamtschulhaus";"école complète";"46.4559299301324, 7.444898312057541";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 13:00 Uhr";"09:00 à 13:00";"2021-11-20T09:00:00";"2021-11-20T13:00:00"
